종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
골드앤에스,035290,1641.0,61571.0,101038011.0,,,,,
골프존,215000,39000.0,8496.0,331344000.0,,,,,
골프존홀딩스,121440,6670.0,186035.0,1240853450.0,,,,,
공구우먼,366030,5050.0,48529.0,245071450.0,,,,,
광동제약,009290,6100.0,193369.0,1179550900.0,,,,,
광동헬스바이오,086220,668.0,1605.0,1072140.0,,,,,
광림,014200,,,,,,,,
광명전기,017040,932.0,0.0,0.0,,,,,
광무,029480,1395.0,263271.0,367263045.0,,,,,
광전자,017900,5810.0,1352209.0,7856334290.0,,,,,
광주신세계,037710,43350.0,145270.0,6297454500.0,,,,,
광진실업,026910,6500.0,523760.0,3404440000.0,,,,,
교보14호스팩,456490,,,,,,,,
교보15호스팩,465320,2335.0,0.0,0.0,,,,,
교보16호스팩,482520,2020.0,10.0,20200.0,,,,,
교보17호스팩,489210,2025.0,295.0,597375.0,,,,,
교보증권,030610,9740.0,22760.0,221682400.0,,,,,
교촌에프앤비,339770,3650.0,104017.0,379662050.0,,,,,
구영테크,053270,1865.0,52241.0,97429465.0,,,,,
국도화학,007690,38050.0,34338.0,1306560900.0,,,,,
국보디자인,066620,23900.0,13796.0,329724400.0,,,,,
국보,001140,,,,,,,,
국순당,043650,3725.0,118679.0,442079275.0,,,,,
국영지앤엠,006050,540.0,516739.0,279039060.0,,,,,
국일신동,060480,1368.0,12915.0,17667720.0,,,,,
국일제지,078130,4235.0,364012.0,1541590820.0,,,,,
국전약품,307750,2145.0,58947.0,126441315.0,,,,,
국제약품,002720,3490.0,102413.0,357421370.0,,,,,
그래디언트,035080,9390.0,9036.0,84848040.0,,,,,
GKL,114090,9330.0,299573.0,2795016090.0,,,,,
GRT,900290,2340.0,331037.0,774626580.0,,,,,
그리드위즈,453450,15920.0,147300.0,2345016000.0,,,,,
그리티,204020,1901.0,63224.0,120188824.0,,,,,
그린리소스,402490,7120.0,76560.0,545107200.0,,,,,
그린생명과학,114450,2035.0,177536.0,361285760.0,,,,,
그린케미칼,083420,4550.0,12883.0,58617650.0,,,,,
그린플러스,186230,3205.0,27281.0,87435605.0,,,,,
극동유화,014530,3195.0,119343.0,381300885.0,,,,,
GST,083450,44850.0,83164.0,3729905400.0,,,,,
글로벌에스엠,900070,1051.0,24854.0,26121554.0,,,,,
글로벌텍스프리,204620,4685.0,514781.0,2411748985.0,,,,,
글로본,019660,1919.0,14829.0,28456851.0,,,,,
금강공업우,014285,5380.0,681.0,3663780.0,,,,,
금강공업,014280,3900.0,22220.0,86658000.0,,,,,
금강철강,053260,4600.0,27763.0,127709800.0,,,,,
금비,008870,40300.0,500.0,20150000.0,,,,,
금양그린파워,282720,6660.0,34989.0,233026740.0,,,,,
금양,001570,9900.0,0.0,0.0,,,,,
금호건설우,002995,22900.0,40581.0,929304900.0,,,,,
