종목코드,종목명,시장구분
388790,라이콤,코스닥
214260,라파스,코스닥
403360,라피치,KONEX
171010,램테크놀러지,코스닥
084650,랩지노믹스,코스닥
217500,러셀,코스닥
092590,럭스피아,KONEX
038390,레드캡투어,코스닥
294140,레몬,코스닥
443250,레뷰코퍼레이션,코스닥
228670,레이,코스닥
228850,레이언스,코스닥
412350,레이저쎌,코스닥
199550,레이저옵텍,코스닥
281740,레이크머티리얼즈,코스닥
277810,레인보우로보틱스,코스닥
215100,로보로보,코스닥
090360,로보스타,코스닥
238500,로보쓰리에이아이,KONEX
108490,로보티즈,코스닥
900260,로스웰,코스닥
223220,로지스몬,KONEX
067730,로지시스,코스닥
071280,로체시스템즈,코스닥
376900,로킷헬스케어,코스닥
032350,롯데관광개발,코스피
089860,롯데렌탈,코스피
330590,롯데리츠,코스피
000400,롯데손해보험,코스피
023530,롯데쇼핑,코스피
020150,롯데에너지머티리얼즈,코스피
280360,롯데웰푸드,코스피
286940,롯데이노베이트,코스피
004000,롯데정밀화학,코스피
00499K,롯데지주우,코스피
004990,롯데지주,코스피
005305,롯데칠성우,코스피
005300,롯데칠성,코스피
011170,롯데케미칼,코스피
071840,롯데하이마트,코스피
328130,루닛,코스닥
038060,루멘스,코스닥
474170,루미르,코스닥
162120,루켄테크놀러지스,KONEX
253610,루트락,KONEX
141080,리가켐바이오,KOSDAQ GLOBAL
058470,리노공업,KOSDAQ GLOBAL
016100,리더스코스메틱,코스닥
012700,리드코프,코스닥
302550,리메드,코스닥
073570,리튬포어스,코스닥
377450,리파인,코스닥
277070,린드먼아시아,코스닥
042500,링네트,코스닥
193250,링크드,코스닥
474650,링크솔루션,코스닥
219420,링크제니시스,코스닥
439090,마녀공장,코스닥
027740,마니커,코스피
195500,마니커에프앤지,코스닥
357430,마스턴프리미어리츠,코스피
377480,마음AI,코스닥
305090,마이크로디지탈,코스닥
448780,마이크로엔엑스,KONEX
424980,마이크로투나노,코스닥
169330,엠브레인,코스닥
038290,마크로젠,코스닥
001080,만호제강,코스피
267980,매일유업,코스닥
005990,매일홀딩스,코스닥
093520,매커스,코스닥
088980,맥쿼리인프라,코스피
179720,머니무브,KONEX
100590,머큐리,코스닥
067280,멀티캠퍼스,코스닥
072870,메가스터디,코스닥
215200,메가스터디교육,KOSDAQ GLOBAL
133750,메가엠디,코스닥
446540,메가터치,코스닥
235980,메드팩토,코스닥
200580,메디쎄이,KONEX
041920,메디아나,코스닥
233250,메디안디노스틱,KONEX
014100,메디앙스,코스닥
236340,메디젠휴먼케어,KONEX
054180,메디콕스,코스닥
086900,메디톡스,코스닥
078160,메디포스트,코스닥
138040,메리츠금융지주,코스피
408920,메쎄이상,코스닥
021880,메이슨캐피탈,코스닥
140410,메지온,코스닥
241770,메카로,코스닥
090370,메타랩스,코스피
059210,메타바이오메드,코스닥
118000,메타케어,코스피
058110,멕아이씨에스,코스닥
017180,명문제약,코스피
009900,명신산업,코스피
012690,모나리자,코스피
005360,모나미,코스피
070960,모나용평,코스피
434480,모니터랩,코스닥
080420,모다이노칩,코스닥
417970,모델솔루션,코스닥
080160,모두투어,코스닥
087260,모바일어플라이언스,코스닥
101330,모베이스,코스닥
012860,모베이스전자,코스닥
363260,모비데이즈,코스닥
348030,모비릭스,코스닥
250060,모비스,코스닥
288980,모아데이타,코스닥
142760,모아라이프플러스,코스닥
033200,모아텍,코스닥
333050,모코엠시스,코스닥
009680,모토닉,코스피
118990,모트렉스,코스닥
463480,모티브링크,코스닥
006920,모헨즈,코스닥
001810,무림SP,코스닥
009200,무림페이퍼,코스피
009580,무림P&P,코스피
322970,무진메디,KONEX
033920,무학,코스피
008420,문배철강,코스피
279600,미디어젠,코스닥
095500,미래나노텍,코스닥
254490,미래반도체,코스닥
025560,미래산업,코스피
218150,미래생명자원,코스닥
007120,미래아이앤지,코스피
396690,미래에셋글로벌리츠,코스피
442900,미래에셋드림스팩1호,코스닥
357250,미래에셋맵스리츠,코스피
094800,맵스리얼티1,코스피
100790,미래에셋벤처투자,코스닥
446190,미래에셋비전스팩2호,코스닥
448830,미래에셋비전스팩3호,코스닥
477380,미래에셋비전스팩4호,코스닥
477470,미래에셋비전스팩5호,코스닥
478440,미래에셋비전스팩6호,코스닥
482680,미래에셋비전스팩7호,코스닥
085620,미래에셋생명,코스피
006805,미래에셋증권우,코스피
00680K,미래에셋증권2우B,코스피
006800,미래에셋증권,코스피
208890,미래엔에듀파트너,KONEX
049950,미래컴퍼니,코스닥
207760,미스터블루,코스닥
081660,미스토홀딩스,코스피
002840,미원상사,코스피
268280,미원에스씨,코스피
107590,미원홀딩스,코스피
134380,미원화학,코스피
351020,미쥬,KONEX
003650,미창석유,코스피
059090,미코,코스닥
201490,미투온,코스닥
475460,미트박스,코스닥
452200,민테크,코스닥
206640,바디텍메드,코스닥
018700,바른손,코스닥
035620,바른손이앤에이,코스닥
354390,바스칸바이오제약,KONEX
053030,바이넥스,코스닥
301300,바이브컴퍼니,코스닥
377740,바이오노트,코스피
064550,바이오니아,코스닥
314930,바이오다인,코스닥
489460,바이오비쥬,코스닥
086820,바이오솔루션,코스닥
038460,바이오스마트,코스닥
251120,바이오에프디엔씨,코스닥
199730,바이오인프라,코스닥
266470,바이오인프라생명과학,KONEX
289170,바이오텐,KONEX
086040,바이오톡스텍,코스닥
188040,바이오포트,코스닥
199290,바이오프로테크,KONEX
099430,바이오플러스,코스닥
032980,바이온,코스닥
308080,바이젠셀,코스닥
043150,바텍,코스닥
323990,박셀바이오,코스닥
003610,방림,코스피
267790,배럴,코스닥
046310,백금T&A,코스닥
035150,백산,코스피
331520,밸로프,코스닥
199480,뱅크웨어글로벌,코스닥
438700,버넥트,코스닥
066410,버킷스튜디오,코스닥
002410,범양건영,코스피
382900,범한퓨얼셀,코스닥
206400,베노티앤알,코스닥
019010,베뉴지,코스닥
177350,베셀,코스닥
457600,벡트,코스닥
424760,벨로크,코스닥
007210,벽산,코스피
225530,보광산업,코스닥
250000,보라티알,코스닥
002760,보락,코스피
003850,보령,코스피
310210,보로노이,코스닥
006910,보성파워텍,코스닥
000890,보해양조,코스피
226340,본느,코스닥
206950,볼빅,KONEX
008470,부스타,코스닥
003000,부광약품,코스피
001275,부국증권우,코스피
001270,부국증권,코스피
026940,부국철강,코스피
014470,부방,코스닥
011390,부산산업,코스피
005030,부산주공,코스피
338220,뷰노,코스닥
100120,뷰웍스,코스닥
406820,뷰티스킨,코스닥
099390,브레인즈컴퍼니,코스닥
064480,브리지텍,코스닥
288330,브릿지바이오테라퓨틱스,코스닥
365900,브이씨,코스닥
089970,브이엠,코스닥
251630,브이원텍,코스닥
018290,브이티,코스닥
478560,블랙야크아이앤씨,코스닥
439580,블루엠텍,코스닥
033560,블루콤,코스닥
191600,블루탑,KONEX
369370,블리츠웨이엔터테인먼트,코스닥
126340,비나텍,코스닥
121800,비덴트,코스닥
082800,비보존 제약,코스닥
318410,비비씨,코스닥
002070,비비안,코스피
100220,비상교육,코스피
419540,비스토스,코스닥
146320,비씨엔씨,코스닥
200780,비씨월드제약,코스닥
413640,비아이매트릭스,코스닥
141000,비아트론,코스닥
090460,비에이치,코스피
083650,비에이치아이,코스닥
139050,BF랩스,코스닥
445360,비엔케이제1호스팩,코스닥
473370,비엔케이제2호스팩,코스닥
065170,비엘팜텍,코스닥
086670,비엠티,코스닥
335890,비올,코스닥
230980,비유테크놀러지,코스닥
126600,BGF에코머티리얼즈,코스닥
082920,비츠로셀,코스닥
054220,비츠로시스,코스닥
042370,비츠로테크,코스닥
050090,비케이홀딩스,코스닥
148780,비큐AI,코스닥
307870,비투엔,코스닥
377030,비트맥스,코스닥
032850,비트컴퓨터,코스닥
238200,비피도,코스닥
093190,빅솔론,코스닥
065450,빅텍,코스닥
044480,빌리언스,코스닥
005180,빙그레,코스피
069540,빛과전자,코스닥
072950,빛샘전자,코스닥
266170,뿌리깊은나무들,KONEX
451250,삐아,코스닥
143240,사람인,코스닥
466410,사이냅소프트,코스닥
003960,사조대림,코스피
008040,사조동아원,코스피
007160,사조산업,코스피
014710,사조씨푸드,코스피
006090,사조오양,코스피
452430,사피엔반도체,코스닥
419120,산돌,코스닥
062040,산일전기,코스피
122350,삼기,코스닥
419050,삼기에너지솔루션즈,코스닥
014970,삼륭물산,코스닥
018310,삼목에스폼,코스닥
012210,삼미금속,KONEX
053700,삼보모터스,코스닥
009620,삼보산업,코스닥
023600,삼보판지,코스닥
001470,삼부토건,코스피
028050,삼성E&A,코스피
448730,삼성FN리츠,코스피
006405,삼성SDI우,코스피
006400,삼성SDI,코스피
006660,삼성공조,코스피
448740,삼성스팩8호,코스닥
02826K,삼성물산우B,코스피
028260,삼성물산,코스피
207940,삼성바이오로직스,코스피
032830,삼성생명,코스피
018260,삼성에스디에스,코스피
009155,삼성전기우,코스피
009150,삼성전기,코스피
005935,삼성전자우,코스피
005930,삼성전자,코스피
001360,삼성제약,코스피
